image_id,predicted_count,actual_count,count_error,fdr,fnr,f1
img000_20201027_Kaizu_TCA422_515x515,27,26,0.038461538461538464,0.037037037037037035,0.0,0.9811320754716981
img002_20201027_Kaizu_TCA422_515x515,23,25,-0.08,0.0,0.08,0.9583333333333334
img003_20201027_Kaizu_TCA422_515x515,29,28,0.03571428571428571,0.034482758620689655,0.0,0.9824561403508771
img004_20201027_Kaizu_TCA422_515x515,24,24,0.0,0.0,0.0,1.0
img005_20201027_Kaizu_TCA422_515x515,21,22,-0.045454545454545456,0.0,0.045454545454545456,0.9767441860465116
img006_20201027_Kaizu_TCA422_515x515,29,29,0.0,0.0,0.0,1.0
img007_20201027_Kaizu_TCA422_515x515,28,29,-0.034482758620689655,0.0,0.034482758620689655,0.9824561403508771
img008_20201027_Kaizu_TCA422_515x515,28,27,0.037037037037037035,0.03571428571428571,0.0,0.9818181818181818
img011_20201027_Kaizu_TCA422_515x515,27,28,-0.03571428571428571,0.0,0.03571428571428571,0.9818181818181818
img012_20201027_Kaizu_TCA422_515x515,26,27,-0.037037037037037035,0.0,0.037037037037037035,0.9811320754716981
img013_20201027_Kaizu_TCA422_515x515,25,25,0.0,0.04,0.04,0.96
img014_20201027_Kaizu_TCA422_515x515,26,26,0.0,0.0,0.0,1.0
img016_20201027_Kaizu_TCA422_515x515,24,24,0.0,0.0,0.0,1.0
img017_20201027_Kaizu_TCA422_515x515,30,30,0.0,0.0,0.0,1.0
img018_20201027_Kaizu_TCA422_515x515,27,27,0.0,0.0,0.0,1.0
img021_20201027_Kaizu_TCA422_515x515,26,26,0.0,0.038461538461538464,0.038461538461538464,0.9615384615384616
img022_20201027_Kaizu_TCA422_515x515,24,24,0.0,0.0,0.0,1.0
img023_20201027_Kaizu_TCA422_515x515,16,15,0.06666666666666667,0.0625,0.0,0.967741935483871
img024_20201027_Kaizu_TCA422_515x515,27,28,-0.03571428571428571,0.0,0.03571428571428571,0.9818181818181818
img025_20201027_Kaizu_TCA422_515x515,28,27,0.037037037037037035,0.03571428571428571,0.0,0.9818181818181818
img030_20201027_Kaizu_TCA422_515x515,22,23,-0.043478260869565216,0.0,0.043478260869565216,0.9777777777777777
img031_20201027_Kaizu_TCA422_515x515,19,19,0.0,0.0,0.0,1.0
img032_20201027_Kaizu_OkinaSP_515x515,28,27,0.037037037037037035,0.03571428571428571,0.0,0.9818181818181818
img033_20201027_Kaizu_TCA422_515x515,25,26,-0.038461538461538464,0.0,0.038461538461538464,0.9803921568627451
img034_20201027_Kaizu_TCA422_515x515,30,30,0.0,0.0,0.0,1.0
img036_20201027_Kaizu_TCA422_515x515,22,21,0.047619047619047616,0.045454545454545456,0.0,0.9767441860465116
img037_20201027_Kaizu_OkinaSP_515x515,26,27,-0.037037037037037035,0.0,0.037037037037037035,0.9811320754716981
img038_20201027_Kaizu_OkinaSP_515x515,29,30,-0.03333333333333333,0.0,0.03333333333333333,0.9830508474576272
img040_20201027_Kaizu_OkinaSP_515x515,28,29,-0.034482758620689655,0.0,0.034482758620689655,0.9824561403508771
img042_20201027_Kaizu_TCA422_515x515,16,17,-0.058823529411764705,0.0,0.058823529411764705,0.9696969696969697
img044_20201027_Kaizu_OkinaSP_515x515,24,24,0.0,0.0,0.0,1.0
img047_20201027_Kaizu_OkinaSP_515x515,24,24,0.0,0.041666666666666664,0.041666666666666664,0.9583333333333334
img048_20201027_Kaizu_OkinaSP_515x515,25,25,0.0,0.0,0.0,1.0
img049_20201027_Kaizu_OkinaSP_515x515,25,26,-0.038461538461538464,0.0,0.038461538461538464,0.9803921568627451
img050_20201027_Kaizu_OkinaSP_515x515,25,24,0.041666666666666664,0.04,0.0,0.9795918367346939
img052_20201027_Kaizu_OkinaSP_515x515,25,25,0.0,0.0,0.0,1.0
img053_20201027_Kaizu_OkinaSP_515x515,28,28,0.0,0.03571428571428571,0.03571428571428571,0.9642857142857143
img054_20201027_Kaizu_OkinaSP_515x515,26,26,0.0,0.0,0.0,1.0
img055_20201027_Kaizu_OkinaSP_515x515,29,29,0.0,0.0,0.0,1.0
img057_20201027_Kaizu_OkinaSP_515x515,27,27,0.0,0.0,0.0,1.0
img059_20201027_Kaizu_OkinaSP_515x515,12,13,-0.07692307692307693,0.0,0.07692307692307693,0.96
img060_20201027_Kaizu_TCA422_515x515,27,26,0.038461538461538464,0.037037037037037035,0.0,0.9811320754716981
img063_20201027_Kaizu_TCA422_515x515,29,29,0.0,0.0,0.0,1.0
img064_20201027_Kaizu_TCA422_515x515,32,30,0.06666666666666667,0.0625,0.0,0.967741935483871
img066_20201027_Kaizu_TCA422_515x515,31,32,-0.03125,0.0,0.03125,0.9841269841269841
img067_20201027_Kaizu_TCA422_515x515,31,29,0.06896551724137931,0.06451612903225806,0.0,0.9666666666666667
img069_20201027_Kaizu_TCA422_515x515,29,29,0.0,0.06896551724137931,0.06896551724137931,0.9310344827586207
img071_20201027_Kaizu_TCA422_515x515,31,32,-0.03125,0.0,0.03125,0.9841269841269841
img073_20201027_Kaizu_TCA422_515x515,24,25,-0.04,0.041666666666666664,0.08,0.9387755102040817
img074_20201027_Kaizu_TCA422_515x515,30,29,0.034482758620689655,0.03333333333333333,0.0,0.9830508474576272
img077_20201027_Kaizu_TCA422_515x515,29,29,0.0,0.0,0.0,1.0
img078_20201027_Kaizu_TCA422_515x515,27,27,0.0,0.0,0.0,1.0
img079_20201027_Kaizu_TCA422_515x515,26,26,0.0,0.0,0.0,1.0
img081_20201027_Kaizu_TCA422_900x900,13,14,-0.07142857142857142,0.0,0.07142857142857142,0.9629629629629629
img082_20201027_Kaizu_TCA422_900x900,75,79,-0.05063291139240506,0.013333333333333334,0.06329113924050633,0.961038961038961
img085_20201027_Kaizu_TCA422_900x900,64,65,-0.015384615384615385,0.046875,0.06153846153846154,0.9457364341085271
img086_20201027_Kaizu_TCA422_900x900,7,9,-0.2222222222222222,0.0,0.2222222222222222,0.875
img087_20201027_Kaizu_TCA422_900x900,55,56,-0.017857142857142856,0.03636363636363636,0.05357142857142857,0.954954954954955
img088_20201027_Kaizu_TCA422_900x900,72,75,-0.04,0.013888888888888888,0.05333333333333334,0.9659863945578231
img090_20201027_Kaizu_TCA422_900x900,75,77,-0.025974025974025976,0.013333333333333334,0.03896103896103896,0.9736842105263158
